name,credits,prereqs,coursenum,offeredin,description,department
"Introductory Biology",4,null,BIO151,null,"First of a two-semester sequence. An introduction to biology for science majors, including cell and molecular biology,energy metabolism, genetics. BIO 151 and 152 must be taken in sequence except by permission of instructor.Concurrent registration in BIO151L is required. (Three hours of lecture, three hours laboratory, some Saturday fieldtrips.)",
"Evolution, Ecology and Diversity",4,null,BIO152,null,"Second of a two-semester introductory sequence. An introduction to evolution, ecology, and biological diversity forscience majors. Concurrent registration in BIO152L is required. (Three hours of lecture, four hours laboratory.)",
Internship,4,null,BIO199,null,,
"Introductory Cellular Biology",4,null,BIO253,null,"An introduction to structure and function in tissues, cells, and subcellular organelles. Concurrent registration in BIO253Lis required. (Three hours lecture, four hours laboratory.)",
Genetics,4,null,BIO255,null,"A study of the principles of heredity. The course integrates classical transmission genetics, molecular genetics, andgenomics. Special topics will include epigenetics, developmental genetics, and human disease genetics. Contemporarygenetic model systems will be utilized in laboratory experiments. Concurrent registration in BIO255L is required. (Threehours of lecture, four hours of laboratory.)",
"Directed Study: Research in Biology",2,null,BIO297,null,"Directed research with a faculty mentor. No more than two terms may be applied to minimum graduation requirements.Requires permission of instructor and chair of the department. (Pass/No Pass only)",
"Directed Study",4,null,BIO299,null,,
"Invertebrate Zoology",4,null,BIO351,null,"A study of the invertebrate animals stressing classification, morphology, behavior, life history, and phylogeny.Concurrent registration in BIO351L is required. (Three hours of lecture, four hours of laboratory.)",
"Comparative Vertebrate Anatomy",4,null,BIO353,null,"Comparative anatomy, functional morphology, and evolutionary morphology of vertebrates. A study of vertebrateanatomy integrating the perspectives of embryology, morphology and phylogeny. Concurrent registration in BIO353L isrequired. (Three hours of lecture, four hours of laboratory.)",
"Plant Biology",4,null,BIO361,null,"A survey of the diversity and evolution of algae and plants. Topics on plant anatomy, physiology, phylogeny, ecologicaland economic importance, and plant-microbe interactions are integrated throughout. Concurrent registration inBIO361L is required. (Three hours of lecture, four hours of laboratory.)",
Biochemistry,4,null,BIO369,null,"The course addresses the chemical structure and function of the major biological macromolecules. Key topic areas areprotein structure and function, enzyme mechanisms, thermodynamics, intermediary metabolism, and metabolicregulation. Concurrent registration in BIO369L is required. (Three hours lecture, four hours laboratory.)",
Internship,4,null,BIO396,null,,
Internship,2,null,BIO397,null,,
Internship,2,null,BIO398,null,,
Internship,4,null,BIO399,null,,
"Plant Physiology",4,null,BIO440,null,"An introduction to the basic principles of how plants function. Emphasis will be on the flowering plants and theprocesses involved with photosynthesis, growth, development, and water relations. The impact of abiotic and bioticstressors on plant physiology will be discussed. Concurrent registration in BIO440L is required.",
"Advanced Cellular and Molecular Biology",4,null,BIO471,null,"An examination of mechanisms of molecular genetics, recombinant DNA technology, cell-signaling, cell cycle control, thecytoskeleton and select additional topics. Concurrent registration in BIO471L is required. (Three hours of lecture, fourhours of laboratory.)",
"Physiology of Humans and Other Animals",4,null,BIO473,null,"A study of digestion, respiration, circulation, excretion, movement, and sensory perception as well as neural andhormonal control of these functions, emphasizing vertebrates. Concurrent registration in BIO473L is required. (Threehours of lecture, four hours of laboratory.)",
"Developmental Biology",4,null,BIO474,null,"A study of development from the embryonic to adult stages. The course will focus on the physiological, molecular, andmorphological changes that occur during development. Additional topics to be covered will include evolutionarydevelopmental biology (evo devo), teratology, stem cells, regeneration, and cell death. Concurrent registration inBIO474L is required. (Three hours of lecture, four hours of laboratory.)",
Neurobiology,4,null,BIO475,null,"An introduction to the nervous system. Topics to be studied include the electrical activity of neurons, sensory and motorsystems, mechanisms of learning and memory, animal behavior, and human cognition. Concurrent registration inBIO475L is required. (Three hours of lecture, four hours of laboratory.)",
Microbiology,4,null,BIO476,null,"An introduction to the study of microorganisms. Environmental, industrial, and medical issues are discussed, withparticular attention paid to human pathogens. Concurrent registration in BIO476L is required. (Three hours lecture, fourhours laboratory.)",
Ecology,4,null,BIO481,null,"A study of interactions between organisms and the biotic and abiotic environment. Topics include physiological ecology,energy flow, nutrient cycling, a survey of biomes, population and community ecology, and conservation. Concurrentregistration in BIO481L is required. (Three hours lecture, four hours laboratory, some Saturday field trips.)",
"Advanced Topics in Biology",2,null,BIO485,null,"An exploration of advanced topics in biology. Students will learn the foundational concepts of a topic of ongoingresearch in the biological sciences, and apply that knowledge as they read and discuss current scientific literature in thatsubject. Check Records and Registration for the topic and title of a given section. This course is repeatable.",
Immunology,4,null,BIO486,null,"A study of the mechanisms by which the immune system can recognize and neutralize or destroy foreign molecules andorganisms. Aspects of immune dysfunction in allergy, autoimmunity, cancer and immunodeficiency are included.Concurrent registration in BIO486L is required. (Three hours of lecture, four hours of laboratory.)",
"Biology Keystone",2,null,BIO490,null,"A seminar course that fulfills the keystone requirement. Several important biological issues that have ethical and societalimplication and ramifications are explored, including the topics of the vocation of a scientist, connections between faithand science, and moral, ethical, and societal challenges faced by scientists. For senior biology majors.",
"Special Topics in Biology",4,null,BIO495,null,"Courses covering special topics not otherwise covered by our other course offerings. Topics may vary.",
"Independent Study",2,null,BIO497,null,,
"Independent Study",4,null,BIO499,null,,
Internship,4,null,BUS199,null,,
"Principles of Management",4,null,BUS242,null,"Development of the theory of management, organization, staffing, planning, and control. The nature of authority,accountability, and responsibility; analysis of the role of the professional manager.",
Entrepreneurship,4,null,BUS254,null,"The process of transforming an idea into an organization that can market this idea successfully. Examines theconstruction of a viable business plan with attention to the resources needed for success.",
Topics,4,null,BUS295,null,"Lectures, discussions, meetings with members of the staff or visiting faculty regarding research methodology andreadings in the areas of business administration.",
"Directed Study",4,null,BUS299,null,,
"Business Law",4,null,BUS301,null,"Legal rules relating to contracts, agency, negotiable instruments, property, and business organizations under theUniform Commercial Code.",
"Human Resource Management",4,null,BUS340,null,"Personnel function in business, acquisition, and utilization of human resources; desirable working relationships; effectiveintegration of the worker with the goals of the firm and society.",
"International Business",4,null,BUS362,null,"This course views international business from a global perspective, including views of the U.S. government andperspectives of foreign governments. Each topic is supported with real-life case studies.",
Internship,4,null,BUS396,null,,
Internship,2,null,BUS397,null,"BUS397 provides direction and support for students completing internships. Classroom meetings will be scheduled.",
Internship,2,null,BUS398,null,,
Internship,4,null,BUS399,null,"BUS399 provides direction and support for students completing internships. Classroom meetings will be scheduled.",
"Strategic Management",4,null,BUS440,null,"Concepts and principles related to long-range planning. Taught from a managerial viewpoint with examples from variousindustries and sectors.",
"Global Business Management: Mexico and Emerging Markets - Mexico",4,null,BUS461,null,,
"International Management",4,null,BUS465,null,"This course analyzes several factors influencing behavior in the workplace and the board room, including skills needed tomanage across national borders.",
Topics,4,null,BUS495,null,,
"Independent Study",4,null,BUS499,null,,
"CAP Seminar",0,null,CAP001,null,"Program (CAP). During individual meetings, students will work with an academic skills coach to develop study skills,address affective needs, and transition to college life. Meeting time is arranged with skills coach. (.0 course; P/N gradingonly; Prereq: conditional admit status).",
"Designing Your Future: Majors, Careers, and a Life of Joy",2,null,CAR160,null,"Welcome to Designing Your Future. This course will borrow concepts from design thinking to inspire curiosity in studentsabout majors, careers, and a life of joy. Through the iterative processes of turning inward (self-exploration) and turningoutward (major and career exploration), students will be encouraged to generate and embrace multiple answers tocomplex questions about their own future. The instructor and students will engage in a variety of techniques andresources intended to create an active, meaningful and lasting learning experiences. Techniques utilized will includepersonal and career assessments, self-reflection, panel discussions with industry leaders from the major career sectors(non-profit sector, corporate sector, and others), life-design group discussions, readings and reflection. Students will alsopractice networking, informational interviewing, resume and cover letter writing, and job search techniques.",
"Introduction to Cultural Studies",4,null,CCS100,null,"This course is an introduction to the critical study of cultures and cross-cultural difference. It examines the connectionsbetween social relations and the production of meaning. It sets the stage for global citizenship by revealing how our"position" in the world affects the way we view, interpret, and interact with other cultures.",
Topics,4,null,CCS295,null,,
"Directed Study",4,null,CCS299,null,,
Internship,2,null,CCS397,null,,
Internship,4,null,CCS399,null,,
Topics,4,null,CCS495,null,,
"Independent Study",4,null,CCS499,null,,
"Chemistry for Changing Times",4,null,CHM102,null,"Designed for the liberal arts student. Emphasis is upon developing basic chemistry concepts using examples primarilyfrom inorganic chemistry. Does not count toward a chemistry major or minor. Note: must earn credit for both 102 and102L to count as NSM-LAF.",
"General Chemistry I",4,null,CHM115,null,"This is the entry course for chemistry and related science majors, including biology and physics. Course topics include anintroduction to matter and measurements, chemical equations, stoichiometry, energetics, electronic structure, andbonding theory. High school chemistry recommended. Note: must earn credit for both 115 and 115L to count as NSMLAF. (Fall)",
"General Chemistry II",4,null,CHM116,null,"A continuation of Chemistry 115. Emphasis on equilibrium and solution chemistry including kinetics andelectrochemistry. Note: must earn credit for both 116 and 116L to count as NSM-LAF.",
Internship,4,null,CHM199,null,,
"Organic Chemistry I",4,null,CHM251,null,"Basic periodic trends and bonding principles are emphasized with focus on the first row elements. Spectroscopic andseparation methods are introduced for both functional group and structural analysis of organic compounds, including IR,MS, GC, NMR, and chromatography. (Fall)",
"Organic Chemistry II",4,null,CHM252,null,"Organic functional groups are analyzed in multi-step synthesis. Retro-synthetic analysis is emphasized and practicedincluding oxidations, reductions, substitutions, eliminations, and aldol reactions. (Spring)",
"Quantitative Analytical Chemistry",4,null,CHM280,null,"Covers gravimetric and volumetric analysis and solution equilibrium in detail and gives an introduction toelectrochemical and spectrophotometric techniques of analysis. The laboratory involves quantitative analysis of a varietyof samples, and includes trace analysis. (Spring)",
"Directed Study",4,null,CHM299,null,,
"Physical Chemistry: Macroscopic Theory",4,null,CHM362,null,"Studies fundamental macroscopic theories and concepts of physical chemistry with a focus on thermodynamics andkinetics. (Fall)",
"Physical Chemistry: Microscopic Theory",4,null,CHM368,null,"Studies fundamental microscopic theories and concepts of physical chemistry with a focus on quantum mechanics,molecular structure, spectroscopy, and statistical mechanics. (Spring)",
"BioOrganic Chemistry",4,null,CHM370,null,"The study of chemistry in biological systems is one of five core areas of chemistry: inorganic, organic, physical, analytical,and biological, all exquisitely expressed in living organisms. Relationships between chemical structure, bond strengthsand resulting physical/chemical properties, acid-base and metal-catalyzed/assisted reactions, kinetics/thermodynamics,and redox processes are studied in the context of information storage, transmission, expression, and control.",
Internship,2,null,CHM397,null,,
Internship,4,null,CHM399,null,,
"Advanced Thermodynamic and Separation Lab",2,null,CHM430,null,"A comprehensive lab course that provides hands-on experience in advanced topics in physical chemistry (kinetics andthermodynamics) and analytical chemistry (separation science and electrochemistry). 4-hr lab with a 1-hr recitationsession each week.",
"Advanced Synthesis Lab",2,null,CHM440,null,"A comprehensive lab course that provides experiences in advanced synthetic techniques in both organic and inorganicchemistry. 4-hr lab with a 1-hr recitation session each week.",
"Advanced Spectroscopy and Computational Chemistry Lab",2,null,CHM450,null,"A comprehensive lab course provides hands-on experience in advanced topics in spectroscopic instruments, bothcommercial and home-built. Students will also be exposed to computational modeling using quantum mechanicalprinciples. 4-hr lab with a 1-hr recitation session each week.",
"Advanced Organic Chemistry",4,null,CHM464,null,"Study of advanced mechanistic analyses and physical organic chemistry principles of modern synthetic transformations.(Fall)",
"Instrumental Analysis",4,null,CHM481,null,"Emphasis on instrumental methods of analysis. Atomic, molecular, and electron spectroscopy, chromatography,electroanalytical, and surface analysis methods are covered. (Fall)",
"Advanced Inorganic Chemistry",4,null,CHM482,null,"Study of inorganic bonding and structural models, and a survey of inorganic substances and their reactions. Reactivityand bonding in coordination, cluster, and organometallic compounds are considered. (Spring)",
"Chemistry Seminar",0,null,CHM491,null,"This seminar is a weekly meeting of chemistry majors under the direction of the Augsburg Chemistry Society. Juniors andseniors are expected to participate, with seniors presenting papers. Outside visitors are also invited to participate.",
Topics,2,null,CHM494,null,"Study of a specific area building upon inorganic, analytical, physical, or organic chemistry.",
Topics,4,null,CHM495,null,"Study of a specific area building upon inorganic, analytical, physical, or organic chemistry.",
"Independent Study/Research",0,null,CHM497,null,"Chemistry majors planning research careers need research experience before graduation that may be obtained byworking on a summer research project (not counted as a course) or by research participation during the academic year(that may be counted as a course). Cooperative education is an excellent opportunity to be involved in industrialresearch projects.",
"Independent Study/Research",2,null,CHM498,null,,
"Independent Study/Research",4,null,CHM499,null,,
"Journalism Practicum",1,null,COM100,null,"The practicum course is for any student who wishes to gain credit for significant contributions to a specific campusorganization while developing specific communication skills.",
"Sports Production Practicum",1,null,COM101,null,"The practicum course is for any student who wishes to gain credit for significant contributions to a specific campusorganization while developing specific communication skills.",
"Audio Storytelling Practicum",1,null,COM102,null,"The practicum course is for any student who wishes to gain credit for significant contributions to a specific campusorganization while developing specific communication skills.",
"Forensics Practicum",1,null,COM103,null,"The practicum course is for any student who wishes to gain credit for significant contributions to a specific campusorganization while developing specific communication skills.",
"Multimedia Production Practicum",1,null,COM105,null,"The practicum course is for any student who wishes to gain credit for significant contributions to a specific campusorganization while developing specific communication skills.",
"Public Speaking",4,null,COM111,null,"The course focuses on speech preparation, organization, audience analysis, style, listening, and overcoming speechfright. Note: Students may take only one of either COM 111, COM 112, or COM 115 for credit. (Fall, spring)",
"Contest Public Speaking",4,null,COM112,null,"Theory and practice of preparing speeches for delivery in formal and contest situations. Students are expected to attendthree interscholastic speech tournaments and compete in at least two of the following: informative speaking, persuasivespeaking, speaking to entertain, and/or communication analysis. Note: Students may take only one of either COM 111,COM 112, or COM 115 for credit. (Fall)",
"Scientific and Technical Public Speaking",4,null,COM115,null,"An introduction to public speaking for students majoring in scientific or technical fields. Includes the same foundationalmaterial as introduction to public speaking, including: delivery, argumentation, persuasion, and audience analysis. Thismaterial is then applied to specific contexts common in technical fields, with special attention to distinguishing expert orlay audiences, and the use of technical vocabulary and notation systems. Note: Students may take only one of eitherCOM 111, COM 112, or COM 115 for credit.",
"Mass Media and Popular Culture",4,null,COM120,null,"This course is a survey of the mass media in popular culture. Students will examine the different types of mass mediaand will gain an understanding of what popular culture is and why it is important. The course examines the importanceof media criticism and the impact that media have had on culture and society. Students are encouraged to think criticallyabout media and media consumption.",
Internship,4,null,COM199,null,,
"Studio Production",4,null,COM243,null,"This is an introductory television production course utilizing three cameras in a live studio environment. This courseemphasizes the demands of live television production, such as collaborative team effort, pre-production, timemanagement, and meeting deadlines. Through a series of exercises, students learn the skills required to produce a live30-minute news magazine program. (Fall)",
"Documentary History and Theory",4,null,COM247,null,"This course studies the history of filmï¿½s nonfiction art form, as well as the theoretical methods of engaging the worldthrough a lens. Through the study of selected documentaries, students will identify and analyze the filmmakerï¿½s point ofview and the methods used to deliver the message.",
"Interpersonal Communication",4,null,COM254,null,"A study of the dynamics of human interaction through verbal and non-verbal messages; emphasis on factors that buildrelationships and help to overcome communication barriers.",
"Environmental Communication",4,null,COM260,null,"We are bombarded with messages about the natural world every day from many different sources. Environmentalcommunication comes to us through commercials, television, movies, public policy debates, the scientific and technicalsphere, and social media. Environmental messages originate from groups, organizations and individuals with a variety ofgoals. COM 260 encourages a deeper understanding of our relationship with the world around us.",
"Introduction to Communication Studies",4,null,COM280,null,"An introductory survey course designed to acquaint students with the world of ideas that serves as the foundation forthe field of communication studies.",
"Research Methods",4,null,COM281,null,"This course focuses on the differing methods used by communication scholars to ask and answer questions about thenature of human interaction. It examines various types of research methods, both qualitative and quantitative, such asexperimental research, survey research, ethnographic research, textual analysis, content analysis, and historical/criticalresearch.",
Topics,4,null,COM295,null,,
"Directed Study",4,null,COM299,null,,
"Family Communication",4,null,COM310,null,"This course is an introduction to communication phenomena in the setting of the family. The overall goal is to help buildan understanding of how we develop, maintain, enhance, or disturb family relationships through communicationprocesses. Students will learn about theories focusing on the communication patterns and practices that constitutefamily life.",
"Business and Professional Speaking",4,null,COM321,null,"Course explores the skills, research and forms of communication common in business and professional careers. Studentswill learn how to produce effective speeches, conduct interviews, run meetings, and create written professionalcommunication. Emphasis on specialized communication skills, including: interviewing, professional networking, salesspeeches, persuasive policy speeches, business concept or proposal pitches, leading business meetings, etc. Alsoincludes common uses of social media research, organizational communication theory, power and communicationstructures, and the styles and techniques of effective management/leadership.",
"Intercultural Communication",4,null,COM329,null,"This course explores cultural differences and their implications for communication, including differences in values,norms, social interaction, and code systems.",
"Organizational Communication",4,null,COM345,null,"An examination of communication in organizational settings. Focuses on topics such as superior-subordinaterelationships, management styles, motivation of employees, organizational culture, effective use of meetings, andsources of communication problems.",
Argumentation,4,null,COM351,null,"Develops critical thinking skills by study of the theory and practice of argument, evidence, fallacies, and refutation.Includes how to build and analyze public arguments that confront students in their everyday lives.",
Persuasion,4,null,COM352,null,"Examination of the process of influence in a variety of social contexts, paying special attention to the psychologicalaspects of persuasion.",
"Small Group Communication",4,null,COM355,null,"A study of group dynamics and leadership with emphasis on decision making, leadership styles, and conflictmanagement.",
Internship,4,null,COM396,null,,
Internship,2,null,COM397,null,,
Internship,2,null,COM398,null,,
Internship,4,null,COM399,null,,
"Nonverbal Communication",4,null,COM405,null,"This course focuses on the nonverbal elements of communication. Nonverbal communication encompasses allcommunication except the spoken word. In order to fully explore the functions of nonverbal communication in everydaylife, students will conduct a research project that looks at nonverbal communication in depth.",
"Advanced Critical Media Studies",4,null,COM415,null,"This course explores the role that various media, such as film, television, and the internet play in shaping and influencingsociety. Topics covered include theories of influence and effects, representations of gender, race, and class, ownershipand democracy, and new media. After taking this course, students should possess heightened understanding andappreciation of mediaï¿½s significance and impact in the world.",
"Public Relations/Promotional Communication",4,null,COM480,null,"Public relations in the modern world of communication, marketing, and business. An overview of public relations as acareer and a survey of basic promotional communication in profit and nonprofit organizations.",
"Keystone: Critical Conversations about Vocation",4,null,COM490,null,"A synthesis of communication theories and application of those theories to each studentï¿½s sense of vocation. This coursesatisfies the Keystone requirement.",
"Communication Topics",4,null,COM495,null,"Selected topics in communication with emphasis on the use of primary sources and methodology of research.",
"Independent Study/Research",2,null,COM498,null,,
"Independent Study",4,null,COM499,null,,
"Introduction to Computer Science and Communication",4,null,CSC160,null,"An introduction to computer science topics in hardware, software, theory, and computer communications: algorithmdesign, logical circuits, network concepts, the Internet, and programming.",
"Introduction to Programming",4,null,CSC170,null,"A study of problem-solving, algorithm development, and programming using a high-level programming language.Concurrent registration in CSC170L is required. It is recommended that students complete CSC160 prior to enrolling inCSC170. (Three hours of lecture, one-and-one-half hours of lab.)",
Internship,4,null,CSC199,null,,
"Data Structures",4,null,CSC210,null,"Data structures such as linked lists, stacks, and queues; recursion. Concurrent registration in CSC210L is required. (Threehours of lecture, one-and-one-half hours of lab.)",
"Intro to Networking and Communications",4,null,CSC240,null,"Principles and methods of data communications, information theory, distributed processing systems, network protocolsand security, standards, network management, and general computer interfacing.",
"Game Programming on the Web",4,null,CSC250,null,"An introduction to game design, HTML5, Javascript, cascading style sheets, HTML5 Canvas, theories of game mechanicsand fiction, psychological flow, game engines, interfaces, knowledge creation, complex decisions, relation of Java toJavaScript, and videogame history. Prerequisite: CSC 170 or equivalent.",
"UNIX and C",4,null,CSC272,null,"Study of UNIX operating system and the C programming language. It is assumed that the student has a knowledge ofprogramming methods and has done programming in some other language.",
"Directed Study",4,null,CSC299,null,,
"Introduction to Data Science",4,null,CSC310,null,,
Algorithms,4,null,CSC320,null,"A systematic study of algorithms and their complexity, including searching and sorting algorithms, mathematicalalgorithms, scheduling algorithms, and tree and graph traversal algorithms. The classes P and NP, NP-completeproblems, and intractable problems. Students who have not completed MAT171 should be concurrently enrolled inMAT171 or MAT271.",
"Principles of Computer Organization",4,null,CSC345,null,"An introduction to computer architecture, binary representation of data, processors, instruction sets, and assemblylanguage programming.",
"Database Management and Design",4,null,CSC352,null,"Structure of database management systems, query facilities, file organization and security, and the development ofdatabase systems.",
"Database Architecture and Design",4,null,CSC353,null,"An introduction to the physical design and tuning of database systems. Topics include data storage, indexing, queryprocessing, and transaction processing with a focus on the relation database. Advanced topics include security, othertypes of databases (e.g., distributed databases, client-server architectures, object-oriented), emerging technologies, andapplications.",
"Symbolic Programming and Artificial Intelligence",4,null,CSC373,null,"An introduction to programming in functional, symbolic languages, such as Lisp or Scheme. A study of the foundationalgorithms used in the field of artificial intelligence. Applications to selected problems from artificial intelligence.",
"Formal Logic and Computation Theory",4,null,CSC385,null,"An introduction to sentential and first-order logic including logical connectives, proof theory, and quantification. Formalmodels of computation including finite state automata, pushdown automata, and Turing machines. Incompleteness anduncomputability.",
"Topics in Computer Science",4,null,CSC395,null,,
Internship,4,null,CSC396,null,,
Internship,2,null,CSC397,null,,
Internship,2,null,CSC398,null,,
Internship,4,null,CSC399,null,,
"Introduction to A I Robotics",4,null,CSC431,null,"Robot components, robotic paradigms, mobile robots, task planning, sensing, sensor fusion, basic control concepts.",
"Programming Languages and Compilers I",4,null,CSC450,null,"Principles that govern the design and implementation of programming languages. Topics include formal languages,programming language syntax and semantics, parsing, and interpretation. Emphasis on design issues.",
"Programming Languages and Compilers II",4,null,CSC451,null,"Continuation of CSC 450: compilers, data structures, control structures, and the run-time environment. Emphasis onimplementation issues.",
"Computer Graphics",4,null,CSC457,null,"A study of the foundational algorithms required for computer graphics. Topics include geometric algorithms, geometricmodeling, graphics techniques, graphical user interfaces, human-centered software development, computer animation,virtual environments and 3D immersive rendering.",
"Advanced Topics in Computer Science",4,null,CSC495,null,"Study of advanced topics from areas of computer science not included in other courses. This course may be repeated,but may not be counted more than twice as part of the requirements for the major.",
"Independent Study",4,null,CSC499,null,,
"Beginning Dakota I",4,null,DAK111,null,"An introduction to the language and culture of the Dakota people. Emphasis is on vocabulary, reading, writing, andconversational skills. Classroom practice will include linguistic patterns and oral interaction.",
"Beginning Dakota II",4,null,DAK112,null,"An introduction to the language and culture of the Dakota people. Emphasis is on vocabulary, reading, writing, andconversational skills. Classroom practice will include linguistic patterns and oral interaction.",
"Principles of Macroeconomics",4,null,ECO112,null,"An introduction to macroeconomics: national income analysis, monetary and fiscal policy, international trade.Application of elementary economic theory to current economic problems. May be taken independently of ECO 113.ECO 112 and 113 may be taken in either order.",
"Principles of Microeconomics",4,null,ECO113,null,"An introduction to microeconomics: the theory of the household, firm, market structures, and income distribution.Application of elementary economic theory to market policy. May be taken independently of ECO 112. ECO 112 and 113may be taken in either order.",
Internship,4,null,ECO199,null,,
"Directed Study",4,null,ECO299,null,,
"Intermediate Macroeconomics",4,null,ECO312,null,"Determinants of national income, employment, and price level analyzed via macromodels. Attention paid to areas ofmonetary-fiscal policy, growth, and the role of expectations.",
"Intermediate Microeconomics",4,null,ECO313,null,"Theory of resource allocation, analysis of consumer behavior, firm and industry; the pricing of factors of production andincome distribution; introduction to welfare economics.",
"Money and Banking",4,null,ECO315,null,"Functioning of the monetary and banking systems, particularly commercial banks, and the Federal Reserve System andits role in relation to aggregate economic activity. Emphasis placed on monetary theory and policy.",
"Management Science",4,null,ECO318,null,"Provides a sound conceptual understanding of the modern techniques of management science to prepare students tomake better business and economic decisions. Emphasis is on applications such as transportation, marketing, portfolioselection, environmental protection, the shortest route, and inventory models.",
"Labor Economics",4,null,ECO350,null,"Analysis of labor markets, labor as a factor of production, determination of collective bargaining, labor legislation, andeffects upon society.",
"International Economics",4,null,ECO360,null,"A study of the underlying forces affecting the economic relations among nations. Development of the basis forinternational trade, balance of payments, exchange rate systems, and commercial policy.",
"Environmental Economics",4,null,ECO365,null,"This course applies economic principles to the management and utilization of societyï¿½s environmental resources. Itanalyzes the role of externalities and the public policy approaches designed to address those market failures, includingcommand/control and incentive-based strategies. Policy issues examined include air and water pollution, globalenvironmental issues like ozone depletion and global warming, and environmental policy for developing countries.",
"International Economic Development",4,null,ECO370,null,"This course studies the major factors that affect the economic standard of living in the developing world. It examinessuch issues as poverty and income inequality, population growth, education and health of society, agriculturalproduction, environmental externalities, and the role of international trade and foreign assistance.",
Internship,2,null,ECO397,null,,
Internship,4,null,ECO399,null,,
"Mathematical Economics",4,null,ECO416,null,"Mathematical economics with emphasis on the application of mathematical tools to the areas of micro andmacroeconomic theory.",
"Research Methods in Econometrics",4,null,ECO490,null,"This course provides an introduction to the application of statistical models and methods to economic problems.Emphasis is on use of econometric software to analyze data and to test hypotheses.",
Topics,4,null,ECO495,null,"Lectures, discussions, meetings with members of the staff or visiting faculty regarding research methodology andcurrent national and international economic problems and policies.",
"Independent Study",4,null,ECO499,null,,
"Topics for Paraprofessionals",4,null,ECS495CE,null,,
"Behavior Management: ENVOY Training",1,null,ECS505CE,null,,
"Health Care Externship",2,null,ECS506CE,null,,
"Paideia Seminar Writing to Learning",1,null,ECS508CE,null,,
"Paideia: Guided Reading for Great Ideas",2,null,ECS509CE,null,"This course is designed to assist Paideia practitioners in integrating reading techniques with seminar experiences.Participants in the course will analyze and apply strategies in critical analysis of texts through seminars devoted tointerpretive questioning and civil discourse. The goal is to promote literacy through active reading and critical thinkingabout great ideas.",
"Paideia: Advancing Student Learning Through Assessment",1,null,ECS527CE,null,,
"Advanced Paideia Institute",2,null,ECS541CE,null,,
"Paideia Onsite Training",2,null,ECS542CE,null,,
"Paideia Institute- variable credit -formerly EDU539",4,null,ECS543CE,null,,
"The Paideia Trainer",4,null,ECS544CE,null,"The Augsburg Paideia Trainer course is designed to provide the Paideia practitioner with opportunities to developleadership skills in the area of Paideia training. The goal is to improve knowledge and skills through conducting Paideiatraining seminars.",
"Paideia: Curriculum Development",2,null,ECS545CE,null,"This course is designed to assist Paideia practitioners in developing curricular units for seminars. Participants in thecourse will integrate the three columns of didactic, coaching, and seminars to create a cohesive unit around a contentstandard or great idea. Special focus will be placed on selection of seminar texts, content standards, stages of seminarquestions, and methods of evaluation.",
"AP Courses APPROVED BY GAAC cont ed",1,null,ECS585CE,null,,
"Topics Grad Edu, General and TPT Cont Ed only-variable credit",4,null,ECS590CE,null,,
"Topics AP Not Approved 1stand2nd ti-Variable credit",2,null,ECS595CE,null,,
"Independent Study/Research",2,null,ECS598CE,null,,
"Independent Study",4,null,ECS599CE,null,,
"Teaching in a Diverse World",4,null,EDC110,null,"This course is designed to engage students in both an examination and critique of their own schooling and education. Itis meant to support students in developing a socio-political consciousness necessary for successful teaching in a diversesociety (Ladson-Billings, 1995). Students in this course will be asked to come to a better understanding of their owndesires to become educated people while simultaneously learning to critically examine the pathways and barriers thatexist for students of color and other marginalized youth in schools today. Through participatory action research,students will explore a self-directed method of inquiry (problem-posing, problem solving) and hopefully learn how toclaim their own education.",
"Orientation to Education in an Urban Setting",3,null,EDC200,null,"Career exploration and overview of the teaching profession. Emphasis on historical and philosophical foundations of theAmerican school system. Field service experience in an urban P-12 school is required.",
"Diversity/Minnesota American Indians",3,null,EDC206,null,"This course will examine human diversity and human relations. It will provide an awareness and critical analysis of howprejudice, discrimination, and stereotypes impact us personally, as well as how these elements impact our schools andcommunities. Also addressed in this course is the Minnesota Standard of Effective Practice 3.G: Understand the culturalcontent, worldview, and concepts that comprise Minnesota-based American Indian tribal government, history, language,and culture.",
"Diversity in the School",2,null,EDC210,null,"Emphasis on the study of values, of communication techniques, and of the major minority groups in Minnesota for thedevelopment of interpersonal relations skills applicable to teaching and other professional vocations.",
"Minnesota American Indians",2,null,EDC211,null,"An overview of cultural content, world view, and concepts that comprise Minnesota-based American Indian tribalgovernment, history, language, and culture.",
"Educational Technology",2,null,EDC220,null,"Psychological and philosophical dimensions of communication through the use of instructional technology. Selection,preparation, production, and evaluation of effective audio-visual and computer-based materials for teaching/learningsituations. Computer training will be included in this course.",
"Topics in Education",4,null,EDC295,null,,
"Learning and Development in an Educational Setting",3,null,EDC310,null,"A survey of educational psychology topics as applied to teaching and learning. Special emphasis is placed on classroomapplications of theoretical constructs.",
"Building the Public Good: Public Achievement and Organizing: Seminar I",1,null,EDC330,null,"This course advances the idea of democracy as a society created through the public work of everyday citizens. That workmay occur in schools or community organizations but it requires participants to think about their place as citizenprofessionals and in other civic roles as agents and architects of democracy. It will address how to effectively createchange and examine concepts and ideas central to the role the citizen in public life and provide a knowledge base aboutbasic organizing for the public good whether it be in schools or the broader community. Both EDC 330 and EDC 331 willrun over the span of two semesters.",
